Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C8","0.1u","C_0402_1005Metric",46.303029,-39.182744,270.000000,bottom
"C9","0.1u","C_0402_1005Metric",102.832285,-40.370030,90.000000,bottom
"C10","0.1u","C_0402_1005Metric",283.964301,-39.290658,90.000000,bottom
"C11","0.1u","C_0402_1005Metric",275.629919,-101.683210,90.000000,bottom
"C12","0.1u","C_0402_1005Metric",219.670497,-101.087897,90.000000,bottom
"C13","0.1u","C_0402_1005Metric",169.068892,-100.492584,90.000000,bottom
"C14","0.1u","C_0402_1005Metric",119.657913,-101.087897,90.000000,bottom
"C15","0.1u","C_0402_1005Metric",62.507865,-100.492584,90.000000,bottom
"C16","0.1u","C_0402_1005Metric",15.478138,-104.775088,90.000000,bottom
"C17","0.1u","C_0402_1005Metric",167.747195,-39.956261,90.000000,bottom
"C18","0.1u","C_0402_1005Metric",228.004879,-39.405971,90.000000,bottom
"D1","D","D_SOD-123",11.446886,-31.551589,180.000000,bottom
"D2","D","D_SOD-123",20.376581,-55.959422,180.000000,bottom
"D3","D","D_SOD-123",20.376581,-58.340674,180.000000,bottom
"D4","D","D_SOD-123",20.376581,-60.721926,180.000000,bottom
"D5","D","D_SOD-123",16.668750,-113.245409,90.000000,bottom
"D6","D","D_SOD-123",30.820337,-28.575024,0.000000,bottom
"D7","D","D_SOD-123",40.481284,-57.881300,270.000000,bottom
"D8","D","D_SOD-123",47.625040,-77.526629,270.000000,bottom
"D9","D","D_SOD-123",39.885971,-113.245409,270.000000,bottom
"D10","D","D_SOD-123",50.006292,-29.629711,270.000000,bottom
"D11","D","D_SOD-123",61.912500,-57.881250,90.000000,bottom
"D12","D","D_SOD-123",66.675056,-77.526629,90.000000,bottom
"D13","D","D_SOD-123",54.768796,-82.017255,270.000000,bottom
"D14","D","D_SOD-123",43.457849,-113.245409,90.000000,bottom
"D15","D","D_SOD-123",69.056308,-29.629711,90.000000,bottom
"D16","D","D_SOD-123",80.962568,-57.881300,270.000000,bottom
"D17","D","D_SOD-123",85.725072,-77.526629,270.000000,bottom
"D18","D","D_SOD-123",72.032873,-82.017255,90.000000,bottom
"D19","D","D_SOD-123",88.106324,-29.629711,270.000000,bottom
"D20","D","D_SOD-123",100.012500,-57.881250,90.000000,bottom
"D21","D","D_SOD-123",104.775000,-77.526629,90.000000,bottom
"D22","D","D_SOD-123",92.868828,-82.017255,270.000000,bottom
"D23","D","D_SOD-123",110.728218,-113.840722,90.000000,bottom
"D24","D","D_SOD-123",107.156340,-29.629711,90.000000,bottom
"D25","D","D_SOD-123",119.062500,-57.881300,270.000000,bottom
"D26","D","D_SOD-123",123.825104,-77.526629,270.000000,bottom
"D27","D","D_SOD-123",110.728218,-82.017255,90.000000,bottom
"D28","D","D_SOD-123",126.206356,-29.629711,270.000000,bottom
"D29","D","D_SOD-123",138.112616,-57.881300,90.000000,bottom
"D30","D","D_SOD-123",142.875120,-77.526629,90.000000,bottom
"D31","D","D_SOD-123",130.968860,-82.017255,270.000000,bottom
"D32","D","D_SOD-123",145.256372,-29.629711,90.000000,bottom
"D33","D","D_SOD-123",157.162632,-57.881300,270.000000,bottom
"D34","D","D_SOD-123",161.925136,-77.526629,270.000000,bottom
"D35","D","D_SOD-123",148.828250,-82.017255,90.000000,bottom
"D36","D","D_SOD-123",164.306388,-29.629711,270.000000,bottom
"D37","D","D_SOD-123",176.212500,-57.881250,90.000000,bottom
"D38","D","D_SOD-123",180.975000,-77.526629,90.000000,bottom
"D39","D","D_SOD-123",169.068892,-82.017255,270.000000,bottom
"D40","D","D_SOD-123",162.520449,-113.840722,90.000000,bottom
"D41","D","D_SOD-123",183.356404,-29.629711,90.000000,bottom
"D42","D","D_SOD-123",195.262664,-57.881300,270.000000,bottom
"D43","D","D_SOD-123",200.025168,-77.526629,270.000000,bottom
"D44","D","D_SOD-123",187.523595,-82.017255,90.000000,bottom
"D45","D","D_SOD-123",202.406420,-29.629711,270.000000,bottom
"D46","D","D_SOD-123",214.312500,-57.881250,90.000000,bottom
"D47","D","D_SOD-123",217.884558,-77.526629,90.000000,bottom
"D48","D","D_SOD-123",206.573611,-82.017255,270.000000,bottom
"D49","D","D_SOD-123",202.406420,-114.436035,90.000000,bottom
"D50","D","D_SOD-123",221.456436,-29.629711,90.000000,bottom
"D51","D","D_SOD-123",233.362696,-57.881300,270.000000,bottom
"D52","D","D_SOD-123",225.028314,-82.017255,90.000000,bottom
"D53","D","D_SOD-123",223.837500,-112.650096,270.000000,bottom
"D54","D","D_SOD-123",240.506452,-29.629711,270.000000,bottom
"D55","D","D_SOD-123",252.412500,-57.881300,90.000000,bottom
"D56","D","D_SOD-123",236.934574,-77.526629,90.000000,bottom
"D57","D","D_SOD-123",133.945425,-113.840722,90.000000,bottom
"D58","D","D_SOD-123",242.887500,-112.650000,90.000000,bottom
"D59","D","D_SOD-123",244.078330,-29.629711,90.000000,bottom
"D60","D","D_SOD-123",230.981444,-82.017255,270.000000,bottom
"D61","D","D_SOD-123",260.746875,-112.650096,270.000000,bottom
"D62","D","D_SOD-123",260.015842,-27.979711,0.000000,bottom
"D63","D","D_SOD-123",257.175216,-57.881250,90.000000,bottom
"D64","D","D_SOD-123",267.890850,-72.764125,90.000000,bottom
"D65","D","D_SOD-123",261.937720,-82.153194,270.000000,bottom
"D66","D","D_SOD-123",263.128346,-112.650096,90.000000,bottom
"D67","D","D_SOD-123",280.851797,-31.551589,180.000000,bottom
"D68","D","D_SOD-123",282.042423,-49.410979,180.000000,bottom
"D69","D","D_SOD-123",282.042423,-78.581316,180.000000,bottom
"D70","D","D_SOD-123",280.987736,-112.650096,270.000000,bottom
"D71","D","D_SOD-123",80.367255,-113.704783,270.000000,bottom
"D72","D","D_SOD-123",166.092327,-113.840722,270.000000,bottom
"D74","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",42.335971,-41.262536,180.000000,bottom
"D75","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",98.753210,-41.485971,180.000000,bottom
"D76","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",163.711075,-41.076597,180.000000,bottom
"D77","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",223.838440,-40.481420,180.000000,bottom
"D78","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",279.865858,-40.667223,180.000000,bottom
"D79","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",279.797110,-99.603210,0.000000,bottom
"D80","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",223.837688,-98.821958,0.000000,bottom
"D81","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",173.831396,-98.226645,0.000000,bottom
"D82","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",123.825520,-98.821958,0.000000,bottom
"D83","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",66.675056,-98.821958,0.000000,bottom
"D84","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",17.790710,-100.607897,0.000000,bottom
"D85","D","D_SOD-123",239.315826,-77.526629,270.000000,bottom
"D87","D","D_SOD-123",282.042423,-68.460995,180.000000,bottom
"D88","D","D_SOD-123",241.697078,-82.017255,90.000000,bottom
